name,name_pt,category,subcategory,description,wikipedia_url,sipa_id,external_osm_id,lat,lon,source,image,images
Palace of the Dukes of Braganza,Paço dos Duques de Bragança,palace,"Gótico, Residência Real","Iniciado por volta de 1420-1422, sob a ordem de D. Afonso, 1º Duque de Bragança, o Paço dos Duques de Bragança é um notável exemplo de arquitetura senhorial gótica do século XV, com forte influência borgonhesa. Serviu como residência da poderosa Casa de Bragança. Abandonado durante séculos e quase em ruínas, foi alvo de uma profunda e controversa restauração no século XX, sob o Estado Novo, para servir como residência oficial do Presidente da República no Norte e como museu. Atualmente, alberga um museu com coleções de mobiliário, tapeçarias, armas e porcelanas, e uma parte da residência presidencial.",https://pt.wikipedia.org/wiki/Paço_dos_Duques_de_Bragança,80,,41.484,-8.29,Batch: Braga,https://upload.wikimedia.org/wikipedia/commons/5/5a/Pa%C3%A7o_dos_Duques_de_Bragan%C3%A7a.jpg,[]
Citânia de Briteiros,Citânia de Briteiros,ruins,"Castreja, Romana, Sítio Arqueológico","Descoberta e estudada por Francisco Martins Sarmento no século XIX, a Citânia de Briteiros é um dos mais importantes castros do Noroeste Peninsular, com ocupação que remonta ao século II a.C. e se prolonga até ao século II d.C. Este impressionante sítio arqueológico, localizado no topo de um monte, revela os vestígios de uma cidade fortificada da Idade do Ferro, pré-romana e romanizada, caracterizada por casas circulares e retangulares, muralhas defensivas, fornos, banhos públicos e um complexo sistema de abastecimento de água. É um testemunho valioso da cultura castreja e do processo de romanização na região.",https://pt.wikipedia.org/wiki/Citânia_de_Briteiros,3182,,41.517,-8.307,Batch: Braga,https://upload.wikimedia.org/wikipedia/commons/a/a2/Cit%C3%A2nia_de_Briteiros.JPG,[]
Roman Road XVIII (Geira),Via Romana XVIII (Geira),trail,"Estrada Romana, Arqueologia","Construída no século I d.C. pelos engenheiros e militares romanos, provavelmente concluída sob o imperador Vespasiano, a Via Romana XVIII, conhecida como Geira, ligava Bracara Augusta (Braga) a Asturica Augusta (Astorga, Espanha). Este trilho histórico é um notável exemplo da engenharia romana, com extensos troços preservados, marcos miliários (pedras que indicavam a distância) e pontes. Atravessa paisagens naturais deslumbrantes no Parque Nacional da Peneda-Gerês, na área de Terras de Bouro, sendo um percurso de grande valor arqueológico e paisagístico, que oferece uma viagem no tempo pela antiga província da Gallaecia.",https://pt.wikipedia.org/wiki/Via_Nova_(Geira),7837,,41.748,-8.077,Batch: Braga,https://upload.wikimedia.org/wikipedia/commons/2/29/Via_Nova_-_Geira_%282%29.JPG,[]
Bragança Castle,Castelo de Bragança,castle,Castelo Medieval,"Arquiteto: Desconhecido (reconstrução principal atribuída a ordens de D. Dinis), Ano: Século XIII (reconstrução principal). O Castelo de Bragança é um complexo fortificado medieval cuja fundação original remonta a épocas anteriores, possivelmente romana ou visigótica, mas a sua estrutura atual deve-se maioritariamente às campanhas de fortificação do século XIII, impulsionadas pelo Rei D. Dinis em 1292. Localizado no topo de uma colina, dominando a cidade, é um dos castelos mais bem preservados de Portugal. O estilo arquitetónico predominante é o gótico militar, com a sua imponente Torre de Menagem, muralhas robustas e o pátio de armas que alberga a Domus Municipalis e a Igreja de Santa Maria. Ao longo dos séculos, sofreu várias modificações e reforços, mas mantém a sua característica de fortificação de defesa fronteiriça.",https://pt.wikipedia.org/wiki/Castelo_de_Bragan%C3%A7a,PT010402030006,,41.8078,-6.757,Batch: Bragança,https://upload.wikimedia.org/wikipedia/commons/e/ea/Castelo_de_Bragan%C3%A7a.jpg,[]
Domus Municipalis of Bragança,Domus Municipalis de Bragança,monument,Arquitetura Civil Românica,"Arquiteto: Desconhecido, Ano: Século XII-XIII. A Domus Municipalis de Bragança é um raro exemplo de arquitetura civil românica em Portugal, datada do final do século XII ou início do século XIII. Localizada no interior das muralhas do Castelo de Bragança, servia como edifício cívico para reuniões do conselho e provavelmente como cisterna no piso inferior. A sua forma pentagonal irregular e a cobertura em pirâmide de telhas de pedra conferem-lhe uma singularidade arquitetónica notável. O estilo românico transparece na solidez da construção e na simplicidade dos seus elementos, destacando-se a ausência de grandes ornatos, mas a robustez e a funcionalidade. É considerada um dos mais importantes testemunhos da arquitetura civil medieval em Portugal.",https://pt.wikipedia.org/wiki/Domus_Municipalis_de_Bragan%C3%A7a,PT010402030006,,41.8079,-6.757,Batch: Bragança,https://upload.wikimedia.org/wikipedia/commons/b/b5/Domus_Municipalis_de_Bragan%C3%A7a.jpg,[]
Church of Santa Maria (Old Cathedral) of Bragança,Igreja de Santa Maria (Sé Velha) de Bragança,church,"Românico, Barroco","Arquiteto: Desconhecido, Ano: Século XII-XIII (fundação), Século XVIII (reformas barrocas). A Igreja de Santa Maria, também conhecida como Sé Velha de Bragança, é uma igreja românica situada no interior das muralhas do castelo. A sua construção original remonta ao século XII ou XIII, período do qual ainda conserva elementos estruturais e decorativos, como os portais. Ao longo dos séculos, a igreja sofreu diversas intervenções, sendo a mais notável a reforma barroca do século XVIII, que lhe conferiu a atual fachada principal e grande parte da sua decoração interior, incluindo talha dourada e azulejos. A torre sineira é um elemento tardio. É um exemplo da evolução arquitetónica e artística, mantendo as raízes românicas com a sobreposição de elementos barrocos.",https://pt.wikipedia.org/wiki/Igreja_de_Santa_Maria_do_Castelo_de_Bragan%C3%A7a,PT010402030006,,41.8078,-6.7571,Batch: Bragança,https://upload.wikimedia.org/wikipedia/commons/a/ac/Igreja_de_Santa_Maria%2C_Bragan%C3%A7a%2C_Portugal.jpg,[]
Montesinho Natural Park,Parque Natural de Montesinho,park,Parque Natural,"Arquiteto: N/A (Área Protegida), Ano: 1979 (Criação). O Parque Natural de Montesinho é uma das maiores áreas protegidas de Portugal, estabelecido em 1979, abrangendo os concelhos de Bragança e Vinhais. Caracterizado por uma vasta diversidade de paisagens, desde serras (como as Serras de Montesinho e da Coroa) a vales profundos, alberga uma rica biodiversidade, incluindo espécies emblemáticas como o lobo-ibérico e o veado. A arquitetura vernacular das aldeias, com as suas casas de xisto e granito e telhados de lousa, integra-se harmoniosamente na paisagem. É um parque de conservação da natureza e da cultura local, com trilhos pedestres que permitem explorar os seus ecossistemas florestais, ribeirinhos e agrícolas, preservando as tradições e o modo de vida transmontano.",https://pt.wikipedia.org/wiki/Parque_Natural_de_Montesinho,,,41.97,-6.8,Batch: Bragança,https://upload.wikimedia.org/wikipedia/commons/a/a2/Parque_Natural_de_Montesinho.jpg,[]
Miranda do Douro Castle,Castelo de Miranda do Douro,castle,Castelo Medieval,"Arquiteto: Desconhecido (reconstruções sucessivas), Ano: Séculos XIII-XVI. O Castelo de Miranda do Douro é uma fortificação medieval cuja origem remonta ao período da Reconquista, tendo a sua construção principal sido iniciada por ordem de D. Dinis no século XIII, e posteriormente reforçada ao longo dos séculos XIV, XV e XVI, especialmente após a elevação da vila a cidade e sede de bispado em 1545. De arquitetura militar gótica e renascentista, o castelo integra-se nas muralhas que defendiam a cidade. Embora grande parte tenha sido destruída pela explosão de um paiol em 1762, restam partes significativas das muralhas, a Torre de Menagem e alguns baluartes, testemunhando a sua importância estratégica na defesa da fronteira. Oferece vistas panorâmicas sobre o rio Douro e as Arribas do Douro.",https://pt.wikipedia.org/wiki/Castelo_de_Miranda_do_Douro,PT010406050001,,41.488,-6.273,Batch: Bragança,https://upload.wikimedia.org/wikipedia/commons/f/fc/Miranda_do_Douro_Castle_and_Cathedral_from_southwest.jpg,[]
Pillory of Bragança,Pelourinho de Bragança,monument,"Manuelino, Pelourinho","Arquiteto: Desconhecido, Ano: Século XV-XVI. O Pelourinho de Bragança é um monumento de justiça feudal, datado do final do século XV ou início do século XVI, erguido em frente à Domus Municipalis, dentro das muralhas do castelo. Este pelourinho é notável pela sua base assente num 'porco' ou 'javali' celta zoomórfico, possivelmente uma reutilização de um berrão pré-romano, simbolizando a antiguidade e as raízes da região. O fuste é octogonal, coroado por um capitel que suporta uma esfera armilar, um elemento típico do estilo Manuelino, embora de forma mais singela. Representa o poder concelhio e a autonomia municipal, sendo um importante testemunho da história jurídica e administrativa da cidade.",https://pt.wikipedia.org/wiki/Pelourinho_de_Bragan%C3%A7a,PT010402030006,,41.808,-6.757,Batch: Bragança,https://upload.wikimedia.org/wikipedia/commons/f/fb/Pelourinho_de_Bragan%C3%A7a_-_Javali.JPG,[]
Castle of Castelo Branco,Castelo de Castelo Branco,castle,Forte,"Construído no século XIII pelos Cavaleiros Templários, o Castelo de Castelo Branco é um exemplar de arquitetura militar. Embora o arquiteto original seja desconhecido, o rei D. Dinis ordenou a sua reconstrução em 1300. O castelo apresenta características românicas e góticas, tendo sofrido danos significativos durante as Invasões Francesas.",https://pt.wikipedia.org/wiki/Castelo_de_Castelo_Branco,,,39.8242,-7.4932,Batch: Castelo Branco,https://upload.wikimedia.org/wikipedia/commons/e/ea/Castelo_de_Castelo_Branco_01.jpg,[]
Garden of the Episcopal Palace of Castelo Branco,Jardim do Paço Episcopal de Castelo Branco,park,Jardim Barroco,"Criado no século XVIII, por volta de 1725, e atribuído ao bispo D. João de Mendonça, o Jardim do Paço Episcopal de Castelo Branco é um magnífico exemplo de jardim barroco. É célebre pelas suas elaboradas estátuas que representam os Reis de Portugal e figuras alegóricas. O jardim é meticulosamente dividido em vários terraços, enriquecidos com fontes, lagos e intrincados desenhos de buxo.",https://pt.wikipedia.org/wiki/Jardim_do_Pa%C3%A7o_Episcopal_de_Castelo_Branco,,,39.8256,-7.4925,Batch: Castelo Branco,https://upload.wikimedia.org/wikipedia/commons/e/e5/Jardins_do_Pa%C3%A7o_Episcopal%2C_Castelo_Branco_-_Portugal.jpg,[]
Tower of Centum Cellas,Torre de Centum Cellas,ruins,Ruínas Romanas,"Edificada no século I d.C., a Torre de Centum Cellas é uma notável estrutura romana, cujo arquiteto original é desconhecido. Acredita-se que fazia parte de uma villa rustica ou de um complexo industrial, possivelmente ligado à tinturaria ou olaria. Construída com grandes blocos de granito, a torre de três níveis é um dos exemplares mais bem preservados de edifícios romanos de carácter produtivo em Portugal.",https://pt.wikipedia.org/wiki/Torre_de_Centum_Cellas,,,40.3547,-7.3486,Batch: Castelo Branco,https://upload.wikimedia.org/wikipedia/commons/5/52/Torre_de_Centum_Cellas%2C_Portugal.jpg,[]
Old Cathedral of Idanha-a-Velha,Sé Catedral de Idanha-a-Velha,church,"Românica, Visigótica, Sé","Com origens no século VI/VII, sem arquiteto conhecido, a Sé Catedral de Idanha-a-Velha foi erigida sobre um antigo templo romano e subsequentemente adaptada como igreja visigótica e, mais tarde, catedral. Sofreu importantes remodelações nos séculos XII (período românico) e XVI. Representa um dos testemunhos mais importantes da arquitetura religiosa visigótica e românica em Portugal.",https://pt.wikipedia.org/wiki/S%C3%A9_de_Idanha-a-Velha,,,40.0163,-7.1685,Batch: Castelo Branco,https://upload.wikimedia.org/wikipedia/commons/e/e0/Igreja_de_Santa_Maria_em_Idanha-a-Velha.JPG,[]
Castle of Monsanto,Castelo de Monsanto,castle,Forte,"Iniciado no século XII, sem arquiteto conhecido, o Castelo de Monsanto foi reconstruído e fortalecido por D. Afonso Henriques após a Reconquista Cristã e posteriormente pelos Cavaleiros Templários. Erguido sobre um imponente afloramento granítico, oferece vistas panorâmicas e exibe uma arquitetura de influência românica e gótica, adaptada à topografia rochosa.",https://pt.wikipedia.org/wiki/Castelo_de_Monsanto,,,40.0383,-7.1147,Batch: Castelo Branco,https://upload.wikimedia.org/wikipedia/commons/1/1d/Castelo_de_Monsanto_3.jpg,[]
Orvalho Walkways,Passadiços de Orvalho,trail,"Trilho, Geoparque","Inaugurados em 2018, os Passadiços de Orvalho são o resultado de um projeto de engenharia paisagística e ambiental, sem um arquiteto no sentido tradicional, desenvolvido para promover o geoturismo no Geopark Naturtejo. O trilho, com aproximadamente 9 km, integra-se harmoniosamente na paisagem do Parque Natural do Tejo Internacional, proporcionando acesso a quedas de água como a Fraga de Água d'Alta e a Garganta do Zêzere. A sua estrutura, predominantemente em madeira, inclui secções suspensas e pontes que respeitam a natureza envolvente.",https://pt.wikipedia.org/wiki/Geoparque_Naturtejo_da_Meseta_Meridional,,,39.873,-7.848,Batch: Castelo Branco,https://upload.wikimedia.org/wikipedia/commons/e/e3/Passadicos_do_Orvalho_e_Fraga_da_Agua_d_Alta_%281%29.jpg,[]
University of Coimbra – Alta and Sofia,Universidade de Coimbra – Alta e Sofia,monument,"UNESCO World Heritage Site, Historic University","Arquiteto: Vários arquitetos ao longo dos séculos, incluindo Diogo de Castilho e Jean de Rouen para partes específicas. Ano: Fundada em 1290, estabelecida permanentemente na Coimbra Alta em 1537. O Paço das Escolas e o conjunto Alta e Sofia são um testemunho notável da evolução de uma instituição universitária europeia. O complexo inclui o antigo Paço Real de Alcáçova, transformado em Paço das Escolas, com edifícios emblemáticos como a Biblioteca Joanina (iniciada no século XVIII por ordem de D. João V), a Capela de São Miguel, e a Torre da Universidade. A Universidade de Coimbra é Património Mundial da UNESCO e representa um polo de conhecimento e cultura em Portugal, com uma arquitetura que varia do Renascimento ao Barroco.",https://pt.wikipedia.org/wiki/Universidade_de_Coimbra_–_Alta_e_Sofia,00007205,,40.2104,-8.4284,Batch: Coimbra,https://upload.wikimedia.org/wikipedia/commons/2/23/Portugal_-_Coimbra_-_University_-_02.jpg,[]
Monastery of Santa Cruz,Mosteiro de Santa Cruz,church,"Manueline, Royal Pantheon, Convent","Arquiteto: Vários, incluindo Diogo de Boitaca, Nicolau de Chanterene, e João de Ruão. Ano: Fundado em 1132. O Mosteiro de Santa Cruz, também conhecido como Igreja de Santa Cruz, é um dos mais importantes monumentos românicos e manuelinos de Coimbra. Serviu como panteão real, abrigando os túmulos dos dois primeiros reis de Portugal, D. Afonso Henriques e D. Sancho I. O seu portal manuelino, obra de Nicolau de Chanterene, e o púlpito de João de Ruão, são exemplos notáveis da arte manuelina e renascentista. O claustro do Silêncio, de Diogo de Boitaca, é outra obra-prima. A igreja é uma fusão de estilos devido às sucessivas reconstruções e ampliações ao longo dos séculos.",https://pt.wikipedia.org/wiki/Mosteiro_de_Santa_Cruz_(Coimbra),00007204,,40.21,-8.4258,Batch: Coimbra,https://upload.wikimedia.org/wikipedia/commons/0/07/Portugal_-_Coimbra_-_Mosteiro_de_Santa_Cruz_-_2022-07-06_-_01.jpg,[]
Conímbriga Roman Ruins,Ruínas Romanas de Conímbriga,ruins,"Roman, Archaeological Site","Arquiteto: Desconhecido (engenheiros romanos). Ano: Fundação na Idade do Ferro (século IX-VIII a.C.), com ocupação romana significativa a partir do século I a.C. Conímbriga foi uma das maiores cidades romanas da Lusitânia. As ruínas incluem casas senhoriais bem preservadas com mosaicos coloridos (como a Casa dos Repuxos), termas, um anfiteatro e o fórum. As muralhas defensivas tardo-romanas, construídas no século IV d.C., testemunham a defesa da cidade contra as invasões bárbaras. O local oferece uma visão profunda da vida quotidiana e da arquitetura romana na Península Ibérica.",https://pt.wikipedia.org/wiki/Conímbriga,00002161,,40.0963,-8.4907,Batch: Coimbra,https://upload.wikimedia.org/wikipedia/commons/e/ea/Conimbriga_%283437295776%29.jpg,[]
