PT.DOT Data Generator
AI-Powered Cultural POI Population Tool

Img Quality

Balanced (600px)
2005 POIs Generated
Single Generation
Solares e Conventos em Viseu
Generate Single
Full Country Batch
Strategy

Enrichment (Exclude Pillories)
Strictly excludes Fountains/Pillories. Focuses on SIPA IDs for Solares, Bridges, Ermidas.

Start From (Checkpoint)

Aveiro (Step 1)
Extraction Depth (Per District)

MAXIMUM (All Feasible)
Splits requests by theme automatically.

Start Full Batch
Preview
SQL Script
CSV Export
Main Data (Clean)
Images Relations (DB)
id,name,name_pt,category,subcategory,architect,year,description,wikipedia_url,sipa_id,lat,lon,source
11,"Monastery of Santa Maria de Arouca","Mosteiro de Santa Maria de Arouca","church","Monastery","Desconhecido","Séc. X","Um dos mosteiros femininos cistercienses mais importantes de Portugal, com origens que remontam ao século X. A sua igreja atual, de grande imponência, foi construída nos séculos XVII e XVIII, exibindo um estilo barroco sumptuoso. Destacam-se o cadeiral do coro, o altar-mor e o túmulo de D. Mafalda, filha de D. Sancho I. Atualmente funciona como museu de arte sacra.","","PT010103020001",40.9298,-8.2464,"Batch (enrichment): Aveiro"
12,"Mother Church of Ílhavo (Church of São Salvador)","Igreja Matriz de Ílhavo (Igreja de São Salvador)","church","Church","Desconhecido","Séc. XVII","A igreja atual, de grande dimensão, foi edificada no século XVII, substituindo uma primitiva igreja medieval. Apresenta uma fachada imponente com elementos barrocos. O interior, de nave única e teto abobadado, é rico em talha dourada e azulejos. A torre sineira é um elemento marcante da paisagem de Ílhavo.","","PT020110020005",40.6074,-8.6655,"Batch (enrichment): Aveiro"
13,"Mother Church of Estarreja (Church of Santa Marinha)","Igreja Matriz de Estarreja (Igreja de Santa Marinha)","church","Church","Desconhecido","Séc. XVII-XVIII","De origem medieval, a atual Igreja Matriz de Estarreja foi reconstruída e ampliada nos séculos XVII e XVIII, apresentando um estilo maneirista e barroco. A fachada é sóbria, mas elegante, com um portal renascentista. O interior possui vários altares de talha dourada e painéis de azulejo, sendo um testemunho da arte sacra da região.","","PT020106060001",40.7516,-8.5611,"Batch (enrichment): Aveiro"
14,"Mother Church of Vagos (Church of Our Lady of Conceição)","Igreja Matriz de Vagos (Igreja de Nossa Senhora da Conceição)","church","Church","Desconhecido","Séc. XVII-XVIII","A Igreja Matriz de Vagos, dedicada a Nossa Senhora da Conceição, é um edifício de grande interesse arquitetónico. As suas origens remontam à Idade Média, mas a estrutura atual resulta de obras dos séculos XVII e XVIII, com uma fachada barroca e uma torre sineira robusta. O interior é rico em talha e azulejos.","","PT020116060001",40.5484,-8.6946,"Batch (enrichment): Aveiro"
15,"Church of Saint Peter of Cacia (Aveiro)","Igreja de São Pedro de Cacia (Aveiro)","church","Church","Desconhecido","Séc. XVI-XVII","A Igreja de São Pedro, na localidade de Cacia, freguesia de Aveiro, possui raízes medievais mas a sua estrutura atual é principalmente dos séculos XVI e XVII, com elementos maneiristas e barrocos. Destaca-se pela sua robustez e simplicidade, com um interior que conserva altares de talha e uma atmosfera de devoção.","","PT020105030001",40.6698,-8.5772,"Batch (enrichment): Aveiro"
16,"Mother Church of Águeda (Church of Santa Eulália)","Igreja Matriz de Águeda (Igreja de Santa Eulália)","church","Church","Desconhecido","Séc. XVIII-XIX","A Igreja Matriz de Águeda, dedicada a Santa Eulália, é um edifício com uma longa história. Embora a sua fundação seja antiga, a igreja que vemos hoje foi grandemente modificada nos séculos XVIII e XIX. Apresenta uma fachada barroca e neoclássica, com duas torres sineiras, conferindo-lhe um aspeto monumental. O interior é de uma só nave, com capelas laterais e altares de talha.","","PT020101050001",40.573,-8.4447,"Batch (enrichment): Aveiro"
17,"Mother Church of Albergaria-a-Velha (Church of São João)","Igreja Matriz de Albergaria-a-Velha (Igreja de São João)","church","Church","Desconhecido","Séc. XVIII","A Igreja Matriz de Albergaria-a-Velha, dedicada a São João Batista, é um edifício do século XVIII, com uma arquitetura de transição entre o barroco e o rococó. A sua fachada é elegante e bem proporcionada, com uma torre sineira central. O interior possui um retábulo-mor em talha dourada e outros elementos decorativos de interesse.","","PT020102020001",40.7067,-8.4879,"Batch (enrichment): Aveiro"
18,"Church of Our Lady of Glory (Aveiro)","Igreja de Nossa Senhora da Glória (Aveiro)","church","Church","Desconhecido","Séc. XVII","Antiga igreja do Convento do Pópulo, a Igreja de Nossa Senhora da Glória foi construída no século XVII. Apesar de ser um edifício do antigo convento jesuíta, a igreja possui uma arquitetura sóbria e elegante, com elementos maneiristas e barrocos. Destaca-se a sua fachada, a talha dourada do altar-mor e as capelas laterais.","","PT020105020013",40.6402,-8.6531,"Batch (enrichment): Aveiro"
19,"Chapel of Our Lady of Exile (Ovar)","Capela de Nossa Senhora do Desterro (Ovar)","church","Chapel","Desconhecido","Séc. XVIII","Pequena capela do século XVIII, exemplar do barroco regional, com uma fachada simples mas harmoniosa. O seu interior, embora modesto, possui um retábulo de talha dourada e um ambiente acolhedor. É um local de culto e devoção em Ovar.","","PT010115080010",40.8659,-8.6231,"Batch (enrichment): Aveiro"
20,"Parish Church of Eixo (Aveiro)","Igreja Paroquial de Eixo (Aveiro)","church","Church","Desconhecido","Séc. XVIII","A Igreja Paroquial de Eixo, dedicada a Nossa Senhora da Glória, é um edifício do século XVIII, com uma arquitetura barroca. A fachada é caracterizada por uma torre sineira central e elementos decorativos discretos. No interior, destacam-se os altares de talha e algumas imagens sacras.","","PT020105060001",40.6124,-8.6212,"Batch (enrichment): Aveiro"
21,"Hermitage of Saint Anthony of Alquerubim (Anadia)","Ermida de Santo António de Alquerubim (Anadia)","church","Hermitage","Desconhecido","Séc. XVII-XVIII","Esta ermida, situada na freguesia de Alquerubim, concelho de Anadia, possui origens medievais, embora a sua atual configuração seja dos séculos XVII e XVIII. É um pequeno templo de arquitetura rural, com uma fachada simples e um interior acolhedor, onde se venera Santo António.","","PT020101010002",40.4851,-8.4123,"Batch (enrichment): Aveiro"
22,"Mother Church of Oliveira de Azeméis (Church of São Miguel)","Igreja Matriz de Oliveira de Azeméis (Igreja de São Miguel)","church","Church","Desconhecido","Séc. XVIII","A Igreja Matriz de Oliveira de Azeméis é um imponente edifício barroco do século XVIII. A sua fachada, com a torre sineira central, é ricamente ornamentada. O interior é de nave única, com vários altares de talha dourada e um teto que possui pinturas. É um dos maiores e mais notáveis templos da região.","","PT020112070001",40.8354,-8.4867,"Batch (enrichment): Aveiro"
23,"Hermitage of Our Lady of Nazaré (Praia da Barra, Ílhavo)","Ermida de Nossa Senhora da Nazaré (Praia da Barra, Ílhavo)","church","Hermitage","Desconhecido","Séc. XVIII","Pequena ermida situada na Praia da Barra, em Ílhavo, com vistas para o mar e para o farol. Embora a sua origem remonte a períodos mais antigos, a sua configuração atual é do século XVIII. É um local de culto e devoção, especialmente entre os pescadores e a comunidade marítima, com uma arquitetura simples e elementos característicos das capelas costeiras.","","Não listado",40.6133,-8.7497,"Batch (enrichment): Aveiro"
24,"Mother Church of Anadia (Church of São Pedro)","Igreja Matriz de Anadia (Igreja de São Pedro)","church","Church","Desconhecido","Séc. XVIII","A Igreja Matriz de Anadia, dedicada a São Pedro, é um edifício de grande dimensão construído no século XVIII. Apresenta uma arquitetura barroca e neoclássica, com uma fachada imponente e uma torre sineira. O interior é de nave única, com capelas laterais e altares de talha dourada, refletindo a riqueza da época.","","PT020101010001",40.4851,-8.441,"Batch (enrichment): Aveiro"
25,"Church of Our Lady of Aid (Fermentelos, Águeda)","Igreja de Nossa Senhora da Ajuda (Fermentelos, Águeda)","church","Church","Desconhecido","Séc. XVIII","Edifício religioso do século XVIII, com uma fachada barroca e um interior ricamente decorado. Situa-se em Fermentelos, no concelho de Águeda. A sua arquitetura é elegante, com uma torre sineira e um portal bem trabalhado. No interior, destacam-se a talha dourada e os painéis de azulejos, que contribuem para a beleza do espaço.","","PT020101040001",40.542,-8.544,"Batch (enrichment): Aveiro"
26,"Parish Church of São Salvador da Borralha (Águeda)","Igreja Paroquial de São Salvador da Borralha (Águeda)","church","Church","Desconhecido","Séc. XVIII","A Igreja de São Salvador da Borralha, no concelho de Águeda, é um edifício do século XVIII, com uma arquitetura barroca. A sua fachada é sóbria, mas com elementos decorativos que marcam o estilo da época. O interior, de nave única, possui altares de talha e um ambiente de devoção.","","PT020101030001",40.5843,-8.4556,"Batch (enrichment): Aveiro"
27,"Church of São Martinho (Oliveira do Bairro)","Igreja de São Martinho (Oliveira do Bairro)","church","Church","Desconhecido","Séc. XVII-XVIII","Com fundações medievais, a atual Igreja de São Martinho de Oliveira do Bairro é um notável exemplar da arquitetura religiosa dos séculos XVII e XVIII. A sua fachada barroca, com uma torre sineira lateral, apresenta um conjunto harmonioso. O interior, de nave única, é adornado com talha dourada exuberante e painéis de azulejos que enriquecem o espaço.","","PT020113070001",40.5489,-8.5132,"Batch (enrichment): Aveiro"
28,"Parish Church of Valongo do Vouga (Águeda)","Igreja Paroquial de Valongo do Vouga (Águeda)","church","Church","Desconhecido","Séc. XVIII","A Igreja Paroquial de Valongo do Vouga, em Águeda, é um edifício de origem setecentista, com uma arquitetura barroca. A sua fachada, embora sóbria, denota a elegância do estilo, complementada por uma torre sineira. O interior alberga altares de talha e um espólio de arte sacra.","","PT020101180001",40.662,-8.406,"Batch (enrichment): Aveiro"
29,"Church of Misericórdia of Santa Maria da Feira","Igreja da Misericórdia de Santa Maria da Feira","church","Church","Desconhecido","Séc. XVII","Edificada no século XVII, esta igreja apresenta uma fachada de linhas barrocas e um interior de nave única ricamente decorado. Destacam-se os seus altares de talha dourada e os painéis de azulejos figurativos, que conferem grande beleza ao espaço. É um importante exemplar da arquitetura religiosa local.","","PT020114130007",40.9452,-8.5447,"Batch (enrichment): Aveiro"
30,"Mother Church of São João da Madeira","Igreja Matriz de São João da Madeira","church","Church","Desconhecido","Séc. XIX","Edificada no século XIX, mas com elementos que remetem a construções anteriores, esta igreja possui uma fachada neoclássica e um interior espaçoso. A sua importância histórica reside também no desenvolvimento industrial da cidade, de que foi testemunha. A torre sineira é um elemento distintivo.","","PT020115040001",40.8931,-8.4907,"Batch (enrichment): Aveiro"
31,"Parish Church of Murtosa (Church of São Pedro)","Igreja Paroquial da Murtosa (Igreja de São Pedro)","church","Church","Desconhecido","Séc. XVIII","A Igreja de São Pedro, na Murtosa, é um edifício do século XVIII com traços barrocos e neoclássicos. A sua fachada, com a torre sineira, apresenta-se com elegância. O interior é de nave única e possui altares de talha dourada. É um ponto central da vida religiosa e social da Murtosa.","","PT020111050001",40.7603,-8.618,"Batch (enrichment): Aveiro"
32,"Santa Maria da Feira Castle","Castelo de Santa Maria da Feira","castle","Castelo medieval","Desconhecido","Séc. XI-XV","Um dos mais notáveis exemplos da arquitetura militar medieval portuguesa. A sua origem remonta a um castro lusitano, romanizado e posteriormente fortificado pelos suevos e visigodos. Reconquistado aos mouros, foi fundamental na defesa do território e palco de importantes eventos históricos. A estrutura atual reflete diversas campanhas de construção, com destaque para a torre de menagem, muralhas e paços.","","PT020110190001",40.9272,-8.5436,"Batch (enrichment): Aveiro"
33,"Forte da Barra de Aveiro","Forte da Barra de Aveiro (ou Forte Novo)","castle","Forte costeiro","Desconhecido","Séc. XVII","Construído no século XVII, este forte tinha como função principal a defesa da barra de Aveiro contra ataques marítimos. A sua localização estratégica na margem sul da Ria de Aveiro permitia o controlo da entrada e saída de embarcações. Embora atualmente não tenha função militar, é um marco importante na história defensiva da região.","","PT020110050004",40.6121,-8.749,"Batch (enrichment): Aveiro"
34,"Vilarinho Castle Ruins","Ruínas do Castelo de Vilarinho","castle","Castelo medieval (ruínas)","Desconhecido","Séc. XI-XII","Pouco resta deste pequeno castelo ou torre defensiva, cuja origem é incerta, mas que se julga medieval. Situado em Vagos, os vestígios apontam para uma estrutura de defesa local, provavelmente ligada ao controlo de rotas ou à defesa de povoações. A sua história está envolta em lendas e pouca documentação.","","PT020113150002",40.5487,-8.683,"Batch (enrichment): Aveiro"
35,"Ayres de Campos Manor House","Palacete dos Ayres de Campos","palace","Palacete","Desconhecido","Séc. XIX","Exemplar de arquitetura civil do século XIX, este palacete reflete o estilo e o gosto da burguesia aveirense da época. Caracteriza-se pela sua fachada elaborada e pormenores decorativos, testemunhando a riqueza e o estatuto da família que o habitou.","","PT020102030019",40.6406,-8.6534,"Batch (enrichment): Aveiro"
36,"Major Pessoa House (Art Nouveau Museum)","Casa Major Pessoa (Museu de Arte Nova)","palace","Solar (Arte Nova)","Silva Rocha","1907-1909","Uma das mais notáveis expressões da Arte Nova em Aveiro. Construída no início do século XX, apresenta uma rica ornamentação exterior e interior, com motivos florais e figuras alegóricas. É atualmente um museu dedicado à Arte Nova.","","PT020102030006",40.6409,-8.6538,"Batch (enrichment): Aveiro"
37,"Sottomayor Manor House","Palacete de Sottomayor","palace","Palacete","Desconhecido","Séc. XIX","Magnífico palacete com traços ecléticos, construído no final do século XIX para a família Sottomayor. Destaca-se pela sua imponência, varandas trabalhadas e pormenores arquitetónicos que refletem o prestígio da época.","","PT020102030020",40.6418,-8.6545,"Batch (enrichment): Aveiro"
38,"Cerveiras Manor House","Solar dos Cerveiras","palace","Solar","Desconhecido","Séc. XVIII","Este solar, localizado em Ílhavo, é um exemplo da arquitetura senhorial da região. Com origens no século XVIII, apresenta uma fachada sóbria mas elegante, com elementos que denotam a riqueza e o estatuto da família Cerveira, proprietária original.","","PT020105020005",40.6083,-8.6703,"Batch (enrichment): Aveiro"
39,"Costa House","Casa da Costa","palace","Solar","Desconhecido","Séc. XVIII","Importante residência senhorial do século XVIII em Ílhavo. Apresenta uma arquitetura tradicional da região, com destaque para o seu portal e pátio interior. Foi habitada por famílias de relevo na comunidade local.","","PT020105020004",40.6075,-8.6675,"Batch (enrichment): Aveiro"
40,"Counts of Beira Manor House","Solar dos Condes da Beira","palace","Solar","Desconhecido","Séc. XVIII-XIX","Um notável solar em Ovar, que pertenceu aos Condes da Beira. A arquitetura reflete o período dos séculos XVIII e XIX, com elementos que combinam funcionalidade e ostentação.","","Não disponível",40.871,-8.625,"Batch (enrichment): Aveiro"
41,"Lacerda Family House","Casa da Família Lacerda","palace","Solar","Desconhecido","Séc. XVII-XVIII","Um solar histórico em Ovar, ligado à influente família Lacerda. A casa exibe características da arquitetura residencial nobre, provavelmente dos séculos XVII ou XVIII, com uma traça tradicional e pormenores que denotam a sua importância.","","Não disponível",40.87,-8.6265,"Batch (enrichment): Aveiro"
42,"Quinta da Corujeira Manor House","Solar da Quinta da Corujeira","palace","Solar (Quinta)","Desconhecido","Séc. XVIII-XIX","Localizado em Ovar, este solar faz parte de uma antiga quinta, característica da propriedade rural abastada. O edifício principal reflete a arquitetura dos séculos XVIII ou XIX, com uma organização que incluía áreas residenciais e agrícolas.","","Não disponível",40.893,-8.63,"Batch (enrichment): Aveiro"
43,"Egas Moniz House Museum","Casa-Museu Egas Moniz","palace","Solar","Desconhecido","Séc. XVIII","A antiga residência do Prémio Nobel Egas Moniz, é um exemplar notável de solar rural português, com origens que remontam a séculos anteriores à ocupação do cientista. O edifício é hoje um museu que preserva a memória e o legado de Egas Moniz, bem como o ambiente de uma casa senhorial rural.","","PT020104030001",40.825,-8.549,"Batch (enrichment): Aveiro"
44,"Viscounts of Salreu Manor House","Solar dos Viscondes de Salreu","palace","Solar","Desconhecido","Séc. XVIII","Este solar em Estarreja era a residência dos Viscondes de Salreu, uma família de relevo na região. A sua arquitetura, datada provavelmente do século XVIII, exibe a sobriedade e a distinção típicas das casas nobres rurais, com um pátio e jardins que completam o conjunto.","","PT020104070001",40.795,-8.59,"Batch (enrichment): Aveiro"
45,"Agra House","Casa da Agra","palace","Solar","Desconhecido","Séc. XVIII-XIX","Um solar de traça tradicional, situado em Anadia, que se destaca pela sua dimensão e pela conservação de elementos arquitetónicos originais. Representa a tipologia de residência senhorial rural, com influências dos séculos XVIII e XIX.","","Não disponível",40.435,-8.41,"Batch (enrichment): Aveiro"
46,"Barons of Fonte da Pipa Manor House","Solar dos Barões da Fonte da Pipa","palace","Solar","Desconhecido","Séc. XVIII","Residencia da família dos Barões da Fonte da Pipa, este solar em Anadia é um exemplo de arquitetura barroca e neoclássica. A fachada e os interiores revelam a riqueza e o estatuto dos seus antigos proprietários, sendo um marco na paisagem da Bairrada.","","Não disponível",40.46,-8.45,"Batch (enrichment): Aveiro"
47,"Viscount of Granja Manor House","Palacete do Visconde da Granja","palace","Palacete","Desconhecido","Séc. XIX","Este palacete, em Oliveira de Azeméis, foi a residência do Visconde da Granja. Exemplo da arquitetura burguesa do século XIX, combina elementos decorativos da época com a imponência própria de uma casa senhorial, denotando o prestígio da família.","","PT020111160002",40.835,-8.48,"Batch (enrichment): Aveiro"
48,"Correias Brandão Manor House","Solar dos Correias Brandão","palace","Solar","Desconhecido","Séc. XVII-XVIII","Um solar histórico em Oliveira de Azeméis, associado à família Correias Brandão. Apresenta uma arquitetura robusta e tradicional, com origens que podem remontar ao século XVII ou XVIII, sendo um testemunho da antiga nobreza local.","","Não disponível",40.84,-8.485,"Batch (enrichment): Aveiro"
49,"Lameiras House","Casa das Lameiras","palace","Solar","Desconhecido","Séc. XVII-XVIII","Este solar rural em Arouca é um exemplo da arquitetura senhorial do concelho, com características dos séculos XVII e XVIII. Destaca-se pela sua implantação na paisagem e pelos elementos decorativos típicos da época.","","Não disponível",40.92,-8.24,"Batch (enrichment): Aveiro"
50,"Mosteiro House","Casa do Mosteiro","palace","Solar","Desconhecido","Séc. XVII-XVIII","Embora o nome sugira uma ligação a um mosteiro, trata-se de um solar com uma traça robusta e imponente, que se destaca na paisagem de Arouca. Provavelmente dos séculos XVII ou XVIII, representa a residência de uma família abastada da região.","","Não disponível",40.93,-8.26,"Batch (enrichment): Aveiro"
51,"Malafaias House","Casa dos Malafaias","palace","Solar","Desconhecido","Séc. XVII-XVIII","Solar histórico em Arouca, associado à família Malafaias, de grande importância local. A arquitetura reflete os séculos XVII-XVIII, com elementos que denotam o prestígio e a antiguidade da linhagem.","","Não disponível",40.915,-8.18,"Batch (enrichment): Aveiro"
52,"Counts of Arouca House","Casa dos Condes de Arouca","palace","Solar","Desconhecido","Séc. XVII-XVIII","Residencia da nobre família dos Condes de Arouca, este solar é um dos mais significativos do concelho. A sua arquitetura imponente e os seus pormenores construtivos testemunham a riqueza e o estatuto da família ao longo dos séculos.","","Não disponível",40.93,-8.26,"Batch (enrichment): Aveiro"
53,"Baron of Quintela Manor House","Solar do Barão de Quintela","palace","Solar","Desconhecido","Séc. XVIII","Este solar, em Sever do Vouga, foi a residência dos Barões de Quintela. Trata-se de um edifício com uma traça senhorial, provavelmente do século XVIII, que se destaca na paisagem local pela sua imponência e história.","","Não disponível",40.7,-8.38,"Batch (enrichment): Aveiro"
54,"Gandarinha House","Casa da Gandarinha","palace","Solar","Desconhecido","Séc. XVIII-XIX","Um solar rural localizado em Sever do Vouga, que reflete a arquitetura e o estilo de vida das famílias abastadas da região nos séculos XVIII e XIX. A casa mantém muitos dos seus elementos originais, incluindo a traça e a implantação na propriedade.","","Não disponível",40.71,-8.37,"Batch (enrichment): Aveiro"
55,"Alves do Rio Manor House","Palacete de Alves do Rio","palace","Palacete","Desconhecido","Séc. XIX-XX","Este palacete em Oliveira do Bairro é um notável exemplar da arquitetura civil dos séculos XIX-XX, com características de residência burguesa. A sua fachada ornamentada e os detalhes arquitetónicos denotam a prosperidade da família Alves do Rio.","","PT020112090002",40.5,-8.5,"Batch (enrichment): Aveiro"
56,"Count of Valbom Manor House","Palacete do Conde de Valbom","palace","Palacete","Desconhecido","Séc. XIX","Edifício imponente em Águeda, que foi a residência da família do Conde de Valbom. A sua arquitetura, datada do século XIX, reflete o estilo e o prestígio da nobreza rural da época, com elementos decorativos e uma implantação destacada na paisagem urbana.","","Não disponível",40.57,-8.445,"Batch (enrichment): Aveiro"
57,"Lemos House","Casa dos Lemos","palace","Solar","Desconhecido","Séc. XVII-XVIII","Este solar em Vagos, associado à família Lemos, é um importante testemunho da arquitetura senhorial da região. Com origens prováveis nos séculos XVII-XVIII, apresenta uma traça tradicional e pormenores que indicam a sua antiguidade e importância histórica.","","Não disponível",40.54,-8.685,"Batch (enrichment): Aveiro"
58,"Pombais Manor House","Solar dos Pombais","palace","Solar","Desconhecido","Séc. XVII-XVIII","Um dos vários solares históricos de Aveiro, o Solar dos Pombais destaca-se pela sua arquitetura civil, que remonta aos séculos XVII-XVIII. A sua fachada e o layout interno refletem o estilo de vida da nobreza local.","","Não disponível",40.64,-8.65,"Batch (enrichment): Aveiro"
59,"Viscount of Castro Valente Manor House","Solar do Visconde de Castro Valente","palace","Palacete","Desconhecido","Séc. XIX","Este palacete em Aveiro foi a residência do Visconde de Castro Valente. A sua construção do século XIX exibe uma arquitetura eclética e imponente, típica das residências da alta burguesia e nobreza da época, com varandas e decorações elaboradas.","","Não disponível",40.638,-8.652,"Batch (enrichment): Aveiro"
60,"São Domingos House","Casa de São Domingos","palace","Solar","Desconhecido","Séc. XVII-XVIII","Antiga residência senhorial em Aveiro, com uma arquitetura que remonta aos séculos XVII-XVIII. A casa, embora com alterações ao longo do tempo, mantém a traça original que denota a sua importância e o estatuto dos seus primeiros ocupantes.","","Não disponível",40.6425,-8.656,"Batch (enrichment): Aveiro"
61,"Dr. Lourenço Peixinho House","Casa do Dr. Lourenço Peixinho","palace","Solar","Desconhecido","Séc. XVIII-XIX","Residência de grande valor histórico em Oliveira de Azeméis, associada à figura do Dr. Lourenço Peixinho. Trata-se de um edifício com características de solar rural, com a sua arquitetura a refletir os estilos dos séculos XVIII-XIX, demonstrando a prosperidade dos seus proprietários.","","PT020111160001",40.83,-8.49,"Batch (enrichment): Aveiro"
62,"Castro of Ovil","Castro de Ovil","archaeology","Castro","Desconhecido","Idade do Bronze Final / Idade do Ferro","Sítio arqueológico de um povoado fortificado proto-histórico, habitado desde a Idade do Bronze Final até à romanização, com várias estruturas habitacionais e defensivas. É um importante testemunho da ocupação humana na região de Oliveira de Azeméis.","","PT020108030017",40.8541,-8.4552,"Batch (enrichment): Aveiro"
